origin,translation
Libertà numero 32,freedom number 32
Partido da Castradi,cast radi party
altra porzione di medesimo stabile,other portion of the same building
Bottega da Salumier con altra da Mandoler con Casa,salumier's workshop with another almond dealer's workshop with house
Casa vacua solita affittarsi il primo apartamento,empty house usually rents the first apartment
casa n.12,house no.12
bottega ed inviamento da specier da medicine all'insegna del Pavon,shop and dispatch of spices and medicines under the sign of the peacock
Casin con Giardino,house with garden
casino,cottage
due palazzi,two palaces
"Casa in soler in tre apaprtamenti, terzo","house on the ground in three apartments, third"
botega da sopressador,sopressador's shop
Inviamento da Forner,sending from forner
Altre due case,another two houses
Bastion detto il Tezon,bastion called the tezon
bottega da aque e da fiorier con una mezza bottega da barbier in frezaria corris,water and florist shop with a half barber shop in frezaria correspond
Cavana per uso di Monsignor illustrissimo Patriarcha,shed for use by the most illustrious patriarch
libertò di traghetto,ferry freedom
Casetta a pe pian,little house on the ground floor
Casa e Bottega Consorti Magazen,house and consorti shop warehouse
bottega di medicine e magazen,shop of medicines and store
casa e bottega da brochette,house and brochette workshop
Portion di casa in soler,portion of house on ground floor
libertà di traghetto,ferry freedom
casetta sive magazeno,small house or warehouse
Botega da Beccher,beaker shop
Bottegha vuota,empty shop
"Casa in soler in deu appartamenti, secondo","house on land in ten apartments, according to"
Scale 4 in detta calle,stairs 4 in said street
Boteghe d'aque,water shops
altro appartamento in detta casa,another apartment in said house
prima scala,first ladder
Case due a pepian,houses due to pepian
inviamento di casarol,sending of farmhouses
Bottega da Oglio Con Volta,oglio workshop with vault
Casa e bottegin da barbier,house and barber's shop
casa con due magazeni,house with two warehouses
Casa e bottega d'acqua vita,house and water life shop
casa e tre botteghe,house and three shops
"Casa, terzo soler n.12","house, third floor no.12"
la comedia vecchia,the old comedy
Scola delli suddetti Luchesi con casa,school of the aforementioned lucchesi with house
Libertà numero 3,freedom number 3
Casa e Bottega da Speciale,special house and shop
bottega d'aqua vite,water of life shop
casa e bottega di acqua,house and water shop
Casa e Bottega da Acque,house and shop by the waters
casetta con bottega da calegher,small house with cobbler's shop
Camera sola,single room
Casa e Bottega da Perler,house and pearl shop
item inviamento,item sending
Botega da Naranzer,orange shop
magazen chiuso,closed warehouse
Palazzo soler di sopra,upper soler palace
magazeno da fassi,warehouse of barrels
"Casa simile, primo apartamento","similar house, first apartment"
Portion di detta metà do detta casa,portion of said half of said house
bottega una,one shop
Libertà numero 20,freedom number 20
Botegha d'Orese,goldsmith's shop
"casa, bottega maragon e fabro","house, maragon shop and blacksmith"
magazen da pegola,tar warehouse
magazen serve da caneva all'osteria del sturion,magazen serves as a storeroom to the sturgeon tavern
"Casa in due soleri, primo soler","house on two floors, first floor"
Casa e Bottega di luganegher compreso l'inviamento,house and butcher's shop including the sending
Altra porcion di casa suddetta,other portion of the aforementioned house
"casa in cinque appartamenti, quarto","house into five apartments, fourth"
Casa tre affittuali,three lease house
bottega di tagliapietra,stonecutter's workshop
Due case in soler,two houses in soler
Inviamento del detto Formagier sive Posto,sending of the said cheesemaker or place
bottega compreso con magazen in calle de cà corco,shop included with warehouse in cà corco street
"Casa in 2 affittanze, porcion","house in 2 leases, portion"
casa e bottega da stagner,house and tinsmith's shop
"Casa, due terzi","house, two thirds"
casetta per carlità,small house for charity
"Altra porzion delle Suddette Casa, e Bottega","another portion of the aforementioned house, and shop"
casa e bottega serrata,closed house and shop
Officio della seda,office of the silk
camera locante al San Iseppo,rental room at san iseppo
"Casa in due appartamenti e bottegha luganegher con inviamento, il tutto per uso","house in two apartments and sausage shop with annex, all for use"
palazzo vuoto,empty palace
portione di bottega da frutariol,portion of a fruit shop
"Casa con terreno, et inviamento da filcacanevo, et ortivo","house with land, and provision for spinning hemp, and vegetable garden"
Casa a pepina,house in pepina
altra porzione casa soler,another portion of the house soler
casa con due magazeni di fronte,house with two warehouses in front
"Bottega di Favro, et casa in soler","favro's workshop, and house on pillars"
Casa in Soler per suo uso,house in soler for his use
altra bottega serve da magazen,another shop serves as a warehouse
"Casa, e botteghe Salumier Barbier divise in Consorti numero 6","house, and shops salumier barber divided into consort number 6"
"casa soler, secondo appartamento","soler house, second apartment"
cortesella,small court
Due case in una,two houses in one
Banco Giro Pubblico,public rotation bank
casa e bottega fonderia di campane,house and bell foundry shop
"casa, sopra le altre","house, above the others"
Terzo soler,third floor
forno da scaleter,staircase furnace
Bottega con Mangano e Casa,workshop with mangle and house
casa vuota in soler,empty house in soler
Libertà numero 36 vuota,empty freedom number 36
Casa in soler d'affittar,house to rent on ground floor
"Casa, e Pistoria","house, and bakery"
frucco,fruit
bastion detto Rosina con fruttarola,bastion called rosina with orchard
Casa a pepiano,pepiano house
Insegna dell'Aquila Nera,sign of the black eagle
"casa in due soleri , secondo soler","house on two soleri, second soler"
"Casa, et Bottega da Luganegher","house, and butcher's shop"
"Casa, e Bottega da Fenestrer","house, and window maker's shop"
bottega di stramazer,shop of odd jobs
casa in soler con orticello,house with loft and small vegetable garden
Per l'inviamento d'erbarol et biavarol,for the sending of herbarol and biavarol
Casa n.11,house no.11
Casa in due affittanze,house in two leases
magazen unito alla bottega,warehouse attached to the shop
bottega di carter,paper shop
San Giorgio Osteria,san giorgio tavern
bottega con due mezzadi sopra il ponte,shop with two halves above the bridge
soler di sopra,upper floor
magazen compreso con Ubaldo Albertini,warehouse included with Ubaldo Albertini
Inviamento di calegher,sending of shoemakers
Casa Locante Alla Verona,house for rent in verona
Casa grande per suo uso,large house for his use
bottega sopressador,suppressing workshop
portione della casa,portion of the house
"Magazen al n° 16, 17, 18, 20","warehouses at no. 16, 17, 18, 20"
"magazeni sotto Cà Albrici, vuoti","warehouses under Cà Albrici, empty"
"Casa in tre soleri, primo soler","house in three solar panels, first solar panel"
Case n° 2,case no. 2
"Bottega da Sartor, Becher e Strassarol","tailor's workshop, goblets and strassarol"
Posto da formagier,cheese shop
Hospitio,lodging
Soler di sotto in detta casa,basement under said house
"Due casette con bottega, et inviamento da botter","two small houses with shop, and supplies from the boat"
Casetta contigua,adjoining cottage
casa e bottega d'acquavite,house and brandy shop
Casa in pepian,house in pepian
case due pepian ed una in soler,two pepian houses and one in soler
Casa votta,votta house
"Caratti 2 delle Sudette Casa, e Bottega","2 shares of the aforementioned house, and shop"
casa e inviamento,house and sending
Stabile vodo,stable water
"casa, sopra la scaletta di piera","house, above the stone staircase"
bottega di brochetta,skewer shop
"Casa in due soleri, quel di sotto","house in two solariums, the one below"
casa e bottega barbier,barber's house and shop
"Casa, et Bottega da Orologier","house, and watchmaker's shop"
Casa nova in soler,new house in soler
Casa propria per loro suo,their own house for them
posta di Verona,verona mail
casa con giardino,house with garden
casa a pepian e orto,pepian house and garden
Casa in soler in due Affittanze,house in ground rent in two leases
casa in soleri,house in attics
bottega con due luochi pepian,shop with two pepian places
Bottega partioro,goldsmith's workshop
camera delli corrieri di Padova,room of the couriers of padua
Numero 4 Magazen,number 4 warehouse
Botegha da Calegher,cobbler's shop
Casa e bottega da botter,house and shop from a boatman
Casetta in 3 affittanze vuota,small house in 3 leases empty
Casa nel soler di sotto,house in the lower solar
Teren da pietre,land of stones
casa sive camera con sopra belvedere,house or room with an overhanging viewing platform
Inviamento da Biavarol suo proprio,sending from biavarol his own
porzione di inviamento,portion of sending
Casa in soler da fittare,house for rent in soler
Appartamento di sopra nella Casa dell'Illustrissima Marconi,upper apartment in the house of the illustrious marconi
Bottegha da Strazzarol,strazzarol's shop
casa con due botteghe da ligador da libri e buttador,house with two shops for bookbinding and throwing
Palazzo abbruciato,burnt palace
Altra Cameretta,another small room
Casa e Bottega Tentor,house and tentor workshop
Casa bottega scaleter,house shop staircase
casa o sia bottega,house or shop
"Casa in due appartamenti, uno","house in two apartments, one"
Terzo d'una casa,third of a house
Bottega di Naranzer,orange shop
Bottega Sola,single shop
Case e Bottega Carter,houses and carter workshop
"Casa, e Bottegha da Fabro","house, and blacksmith's shop"
Locanda al Cavalier,inn at the knight
Bottega con Caseta di Coroner,workshop with booth of coroner
soler di sopra di suddetta casa,upper floor of the aforementioned house
"Casa in soler in due appartamentu, secondo","house on the ground in two apartments, according to"
Casa e Bottega da Furtarol,house and shop for rent
bottega da galliner  e casa in 3 soleri,henhouse shop and house in 3 soleri
Casa e Bottega Consorti,house and consort workshop
casa in 3 affittanze,house in 3 leases
"casa vuota, soler di sotto","empty house, ground floor"
"casa soler, prima","soler house, first"
Maghazen,warehouse
Casa di sua raggione e per loro uso,house of their reason and for their use
Caseta propria,own hut
Bottega da sartore,tailor's workshop
bottega di formetta,formetta workshop
Cattarina Ercolini,cattarina ercolini
Volta numero 15,turn number 15
Casa inafittata,unrented house
bottega da marcer sotto la suddetta casa,workshop for sea merchants under the aforementioned house
casa in soler data gratis,house given in lease for free
"camerin, in faccia all'altra camera","small room, opposite the other room"
Casa a pepian vuota,empty pepian house
Casa con casetta a pepian,house with small cottage in pepian
Chiesa e monastero dell'Umiltà,church and monastery of humility
Magazen in detta casa,warehouse in said house
"Casa con molte affittanze, numero 9","house with many leases, number 9"
"Casa, porzione del primo appartamento","house, portion of the first apartment"
Bottega di Malvasia,malvasia workshop
botega da sopressador con volte,storehouse of the suppressor with vaults
"casa in due soleri, primo e bottega di barbier","house in two soleri, first and barber shop"
bottega d'acqua e casa in due soleri,water shop and house in two solariums
libertà al traghetto dei barileri,freedom to the ferry of the barrel makers
casa soler e mezadi pepian,soler house and half pepian
Casa Grande divisa in cinque affittanze,large house divided into five leases
Casa e bottegha da barbe,house and barber's shop
"Casa, e Bottega e casetta","house, and shop and small house"
"casa in tre soleri, primo con magazen","house in three soleri, first with warehouse"
casa e bottega da battioro,house and goldbeater's shop
Casa in soler con magazzen,house with warehouse on the ground floor
casa bottega,house shop
Casa Grande de uso,large house for use
Orto Grande con Casa,large garden with house
posto da venditore di canochie,place of reed seller
Casa n.15,house no.15
"Casa, bottega e volta","house, shop and vault"
Inviamento di detto forno,sending of said furnace
casa n. 11 vuota,house no. 11 empty
Botteghe due con casa,two shops with house
"Casa, Bottega, Volta e Magazeno","house, workshop, vault and warehouse"
casa e bottega da tesser,house and weaving shop
casa e bottega da remessi,house and shop for lease
Casa in soler e Bottegha da pistor,house in soler and bakery shop
casa luganegher item inviamento e bottega,"house of the sausage maker, sending and shop"
Casa con orto unito,house with attached garden
magazeno inafittato,leased warehouse
casa con magazen sive logo da malvasia,house with warehouse or malvasia place
Casa e bottega specier da medicina,house and shop for medicine spices
"Metà di Casa, e Bottega","half of house, and shop"
Casa e bottegha da calegher,house and shoemaker's shop
volta e bottega di indorador,vault and gilder's workshop
bottega de varoter,rope maker's shop
Un pezzo di teren da terazer,a piece of land from terazer
Bottega da Petener,petener's workshop
Altro Maghazen,other warehouse
Bottega di Mercer,mercer's shop
"casa in cinque appartamenti, porzione del quarto appartamento","house in five apartments, portion of the fourth apartment"
Bottegha da Tabaco,tobacco shop
bottega da lugnaegher,carpenter's workshop
Porzione di detto appartamento,portion of said apartment
"bottega, dietro l'altra","shop, behind the other"
"casa in soler, vuota","house on ground, empty"
mezzado o altra casetta,half share or other small house
Casa con Magazen Contiguo,house with adjacent warehouse
casa compresa bottega da sopressador,house including shop from suppressor
Bottega tenuta per magazen,shop kept for storage
Sotto scala,under stairs
Volta numero 8,turn number 8
bottega da caffè,coffee shop
Casa 3 affittanze,house 3 leases
casa porzione,portion of house
Casa in soler per suo uso havendola presa in conto Dotte,house on ground for his use having taken it into account dotte
posto o statio da galiner,place or station for chickens
bottega e casa da seller,shop and house for sale
casetta con bottega,small house with shop
"casa, sesto soler, vuota","house, sesto soler, empty"
"Casa, Bottega Calderer","house, copper smith's shop"
Magazen piccollo,small warehouse
"Casa, Bottega","house, shop"
casa con forno e inviamento,house with oven and sending
Bottegha da Lattoner,coppersmith's shop
Casa di residenza del pievano,residence of the parish priest
"casa in tre appartamenti, nel terzo di sotto e bottega","house in three apartments, in the third one downstairs and shop"
Casa grande in soler con orto abitata dalli stessi,large house in soler with garden inhabited by the same
metà casa,half house
bottega due in una di gallineri,shop two in one of henhouses
Bottega con Volta da Oglio,shop with oglio vault
casa in quattro affittanze,house in four leases
Botega de orefice compresa in affittanza di Botega in Ruga tenuta da F. Rossi,jeweler's shop included in the rental of shop in Ruga held by F. Rossi
casa grande e soler di sopra,large house and upper floor
luoco a pepian sotto la terrazza,place under the terrace at pepian
Bottega da zavatter,cobbler's shop
Casa propria per uso di suo negotio,own house for the use of his business
Chiesa e Monastero dello Spirito Santo,church and monastery of the holy spirit
Casa e Botteghe,house and shops
casa e bottega caffè,house and coffee shop
botteghe con due mezzadi,shops with two halves
Bottega da Linarol,linarol's workshop
Volta numero 6,turn number 6
Volte numero 3 con soffitta forma una casa,vault number 3 with attic forms a house
Casa in soler di 2 apartamenti,house on land of 2 apartments
"Ospicio di sei stanzie, numero 4","hospice of six rooms, number 4"
Casa con bottega da barbier in due fitanze,house with barber shop in two installments
bottega da mandoler,almond shop
magazen della casa,warehouse of the house
Cas in soler,houses on the ground
"casa, sopra la prima scala","house, above the first staircase"
Casa in Locanda de tre Visi,house at the inn of three faces
Casa e bottega da furttarol,house and shop for lease
Bottega con volta,workshop with vault
casa e magazen da moscato,house and muscat warehouse
Porzione di primo appartamento,portion of first apartment
Due Boteghe unite da Chiodi,two shops united by nails
Casa Dominical,manor house
Libertà numero 33,freedom number 33
Casa e Bottega Zavater,house and zavater shop
Bottega con volta da botiro,workshop with barrel vault
Casa in soler al ponte de legno,house on the plot at the wooden bridge
"Altra Porzion delle Suddette Casa, e Bottega",another portion of the aforementioned house and shop
casa in più soleri per sua residenza,house in more floors for his residence
Casa propria soler di sopra,upper floor own house
Casa propria di sua abbitazione,own house of his habitation
Casa alla Riva,house by the river
"Bottega, e Volta","workshop, and vault"
Casa in 2 affittanza,house for rent in 2
"due appartamenti, terzo soler","two apartments, third floor"
Altra Porzione delle Suddette Casa e Bottega,another portion of the aforementioned house and shop
Bottega da Fiuber,fiuber's workshop
Casa e magazen porzione,house and warehouse portion
Casa in soler in due apartamenti et Bottega da Librer,house in soler in two apartments and bookstore shop
Inviamento della medema Bottega di formaggier,sending of the same cheese shop
bottega vendi sal,shop sells salt
Bottega e Casa in soler,workshop and house on lease
Casa in soler con corte non affitata,house on ground with courtyard not rented
"Casa e Bottega da Speciale, più carati","special house and shop, more carats"
metà di casa nel terren,half of the house on the land
Casa con molte affittanze. numero 5,house with many leases. number 5
Casa e Bottega da spicier da medecine,house and shop of medicine spice dealer
"Casa in 3 appartamenti, primo","house in 3 apartments, first"
Botegha da Droghe,spice shop
Inviamento da Luganegher vuoto,sending from empty luganegher
Secondo soler,according to custom
"bottega, metà","shop, half"
Altra Porzione della Sudetta Bottega,other portion of the aforementioned shop
casa e bottega da calderer,house and cauldron shop
inviamento della bottega calegher,sending of the cobbler's shop
casette e bottega da erbarol,small houses and herbalist's shop
Porcion della medema casa,portion of the same house
iniviamento di luganegher,initiation of sausagemaker
casa e casetta di sotto,house and small house below
magazzen,warehouse
casa primo appartamento,first apartment house
Caseta voda,water hut
Due Appartamenti di Casa e una Soffitta,two apartments of house and an attic
"casa, cioè volta e bottega","house, that is vault and shop"
Posto da Tabacco,tobacco place
Bottega stramazer,straw mat workshop
casa e bottega da favro,house and blacksmith's shop
Casa e Bottega da quadri,house and picture shop
terreno sive casa caduta,land or fallen house
Inviamento da speciale,special sending
Posto da Fruttariol,place for fruiterer
magazen d'oglio,oil warehouse
Casa e Forno,house and oven
7 libertà di traghetto,7 ferry freedoms
Casetta con bottega,small house with shop
Cappella di Santa Scolasticha,chapel of saint scholastica
Casa con bottega fenestrer,house with windowed shop
2 case,2 houses
bottega di favro,blacksmith's shop
bottega da linariol con magazen,linseed oil shop with warehouse
"casa in cinque appartamenti, altra porzione cioè due camere","house divided into five apartments, another portion that is two rooms"
Altro Appartamento,other apartment
bottega da corner,corner shop
Libertà numero 15,freedom number 15
bottega d'erbariol e inviamento,herbalist's shop and sending
casa in un soler con un magazen,house in a plot with a warehouse
Bottega da Battioro e Salumier,goldbeater and delicatessen shop
"bottega era da marangon, al momento vuota","the shop was a carpenter's, currently empty"
"casa, vuota solita affitarsi","house, usually rented out when empty"
Botega Inaffitata,unrented shop
Botegha da Becher,beaker shop
Casette e Boteghe,houses and shops
altro appartamento con detta casa,another apartment with said house
3 case e bottega inafittate,3 houses and shop leased
magazeni due chiusi,two closed warehouses
seconda scala,second ladder
Casa in soler a pepian,house on a pepian ground floor
Bottega di Fiorer,flower shop
"Casa in soler, et a pepian","house on the ground, and a small boat"
casa in un soler,house in a plot of land
Bottega con inviamento da malvasia et bottega da caffè,shop with shipment of malvasia and coffee shop
"Casa in due solleri, soller di sotto, vodo","house on two floors, lower floor, water channel"
Bottega di zavater,shoe shop
Appartamento di Casa di sua ragione,apartment of house of his reason
"Casa, primo appartamento","house, first apartment"
"Casa Grande, Soler di Sotto, Soler di sopra e Casa a latere","big house, lower soler, upper soler and side house"
Camera numero 4,room number 4
loco era bottega da sartor,the place was a tailor's shop
"Casa in tre affittanze, soler di sotto","house in three leases, lower floor"
Inviamento della suddetta Bottega di Fruttarol,sending of the aforementioned fruit shop
casa e bottega,house and shop
casa pepian data gratis,pepian house given for free
inviamento di bottega di luganegher,sending of sausagemaker's shop
Bottega da botiro,butter shop
Casa e Bottega Callegher,house and callegher workshop
casa in due soleri per proprio uso,house on two floors for personal use
Bottega e Casa da Furtariol,workshop and house of furtariol
Casa per uso propria,house for personal use
Casa e Bottega coron[?],house and shop crown[?]
"Casa, e Bottega da Fruttarolo","house, and fruit seller's shop"
Bottega con magazen,shop with warehouse
Altra Porzione della Sudetta Casa e Bottega,other portion of the aforementioned house and shop
Casa e bottega di masteller,house and shop of masteller
casa e bottega da scultor,house and sculptor's workshop
"Casa, e botega con inviamento d'aqua de vita, e tabaco","house, and shop with supplies of water of life, and tobacco"
casa e bottega di cester,house and basket maker's shop
casa  forno e magazen,"house, furnace and storage"
Casa altro soler,other sun house
Casa di loro raggione e per loro uso,house of their reason and for their use
"casa, bottega e inviamento da fruttarol e magazen","house, shop and shipment for fruit seller and warehouse"
bottega da strazarol,shop for straw goods
altra porzione di inviamento,another portion of sending
Casa in soler con bottega da marzer,house with loft and grocer's shop
"Casa in 2 affittanze, soler di soto, et mettà di Bottega","house in 2 rents, lower floor, and half of the shop"
Casa con Ostello,house with hostel
Casa e bottega da Manghaner,house and shop from Manghaner
casa sopra la bottega,house above the shop
"Casin sopra la laguna con corte, loza e giardin","house on the lagoon with courtyard, terrace and garden"
Casa e Pestrino Consorti,house and pestrino consorts
Botegha da Lettoner,leather workshop
"casa in tre soler, secondo","house in three floors, second"
Bottega et 2 mezadi,workshop and 2 half-days
Casa in soler nominata il Purgatorio,house named the purgatory on the ground floor
Bottega di Special con volta,special shop with vault
Bottega Vuota fù del Cervo d'oro,empty workshop was of the golden deer
Casa in soler con corte,house with courtyard on ground floor
Casa in Due affittanze,house in two leases
casetta secondo piano,little house second floor
casa e bottega da caregher,house and carpenter's shop
Altra metà di Bottega Galiner,other half of bottega galiner
bottega da pistor,baker's shop
"casa in due soleri, secondo","house in two suns, according to"
casetta per ragionatura del pubblico,small house for public reasoning
casa pepian e magazen,pepian house and warehouse
Bastion da Vin,bastion of wine
casa in tre solari,house in three suns
Sola Bottega,only shop
bottega da guareghe,leather workshop
Volta numero 1,turn number 1
Bottega da Caffé,coffee shop
porzione del bastion,portion of the bastion
casetta seconda,second small house
Bottega o Sia Scancello da Nodaro,workshop or notary's gate
Casa e bottega da barbier,house and barber shop
alcuni lochi con una casetta,some places with a small house
Casa e Refinaria da Zucheri,house and sugar refinery
Bottega inafittata,unrented shop
Bottega sola,single workshop
Casa dominicale per proprio uso,domestic house for personal use
Botega da Sartor Inaffitata,unrented tailor's shop
casa d'affitar,house for rent
"appartamento di casa pirmo su le scale, vuoto","first floor apartment on the stairs, empty"
bottega da sopressador con volte,shop with overhead vaults
magazen due,warehouse two
due case inafittate,two leased houses
altro appartamento della sopradetta casa,another apartment of the aforementioned house
Casa e Bottega da confetti,house and candy shop
ingresso del teatro,theater entrance
casa e bottega acque,house and water shop
Magazen da fassi,warehouse for barrels
Palazzo inafittato,unleased palace
alcuni lochi con una casetta vicina,some places with a nearby house
bottega e appartamento,shop and apartment
casetta soler,soler cottage
Tre apartamenti,three apartments
casa e bottega da squerariol,house and shop from squerariol
Casa in soler con Maghazeni,house in soler with maghazeni
"Bottega, et Casa da spicier da Confetti","shop, and house of the confectioner's spice"
bottega e magazen biavariol,workshop and biavariol warehouse
casa in tre soleri,house in three suns
"Casa in soler in due appartamenti, secondo","house on the ground in two apartments, according to"
bottega e casa in due soleri,shop and house in two lots
"bottega da barbier, gratis","barber's shop, free"
Bottega da boter,boter's workshop
casa soler di sotto,lower soler house
Cassetta,box
bottega da specier da medicine,apothecary shop for medicine
appartamento nella suddetta casa,apartment in the aforementioned house
"Casa, et Bottega da Lasagner","house, and lasagner's shop"
Casa e bottega da tagliapietra,house and stonecutter's shop
inviamento,sending
"Casa in due affittanze, soler di sopra","house in two leases, upper floor"
altro appartamento inaffittato,another unleased apartment
bottega e volta da luganegher da crudo,raw sausage shop and vault
Casa vuota cadente,falling empty house
"casa, una parte","house, a part"
bottega da scaleter e casa,shop for a ladder maker and house
botteghetta,small shop
Casa e bottega da fabro,house and blacksmith's shop
bottega da oglio e casa in due soleri,oil workshop and house in two solariums
Altro Apartamento di detta Casa,other apartment of said house
Altra porzione della detta casa,another portion of the said house
Casa e botegha da furtariol,house and shop for rent
soler di mezzo,middle ground
Botega da barbier,barber's shop
mezza attaco,half attack
Bottega da Marzer con sua Volta che serve per Casetta,shop from marzer with its vault that serves as a small house
cereria con casa in soler,candle factory with house in soler
"Casa, e Bottega da Fabro","house, and blacksmith's shop"
"magazeni due notati nel ostaria gambaro, vuoti","two warehouses noted in the gambaro tavern, empty"
La soprascritta Bottega,the aforementioned shop
due casette,two small houses
"Bottega da Fabro, era Inviamento da Luganegher","fabro's workshop, it was luganegher's shipment"
bottega da fenestrer,window shop
"Vari Magistrati, e Magazeni","various magistrates, and warehouses"
metà di bottega da barbier,half of a barber shop
Bottega e casa,workshop and house
"Altra Porzione delle antedette Casa, e Bottega",another portion of the aforementioned house and shop
"Casa, e due Botteghe","house, and two shops"
Bottega che serve per magazen,shop used for storage
Due camere,two rooms
Ospital di San Nicolò,hospital of st. nicholas
Scancelli da Sicurtà con Volta,security gates with vault
Appartamento secondo d'affittar,second apartment to rent
Bottega da Medicine,medicine workshop
Altro appartamento vuoto,another empty apartment
bottega da zoccoler,clog maker's shop
Casa in soler et a pepian,house in soil and pumpkin
portion detta Osteria,portion called Osteria
tre case pepian rovinose,three ruined pepian houses
Casa e bottega da favro e da sartor,house and shop for blacksmith and tailor
casa e bottega da medicine,house and medicine shop
"casa in tre affittanze, terzo","house in three leases, third"
Inviamento d'Aqua di vitta,sending of water of life
Mola da Gua,gristmill
inviamento della pistoria,sending of the bakery
"Bottega con volta, e magazin","shop with vault, and warehouse"
Casa e bottegha da masteller,house and shop for a cooper
Casa e Bottega de Acque,house and water workshop
Casa pepian e Bottega,pepian house and shop
Bottega e due volte,workshop and twice
fabbrica nova non ancora edificata,new factory not yet built
magazen di tavole con terren,warehouse of boards with land
magazen unito all'inviamento della bottega di frutariol,warehouse attached to the shipment of the greengrocer's shop
Libertà numero 45 vuota,empty freedom number 45
casa a pepian con squero,house with pepian and shipyard
posto dal fruttarol,placed by the fruit seller
"Casa Grande et altra Casa in Soler, il restante serve per loro uso","big house and another house in soler, the rest serve for their use"
Un Cameron,a cameron
Casa con magazen di erbarolo,house with herbalist's warehouse
Bottegha da formagier vuota,empty cheese shop
"Casa, et Bottega da Tornidor","house, and turner's workshop"
due magazenni,two warehouses
casa pepian,pepian house
"Bottega, altra metà","workshop, other half"
Casa e Bottega da Tabacco,house and tobacco shop
casetta in soler,little house in soler
Magazen da Legname,lumber warehouse
"casa in due soleri, detto soler","house on two suns, said sun"
casa soler e pepian,soler and pepian house
Officio de Testori da Seda serve per loro uso,the office of silk testers serves for their use
Casotto da Becher,becher's hut
Portion di detta casa e bottega,portion of said house and shop
case n.2 e 3,houses no. 2 and 3
Bottega da Buttiro,butter churn shop
Casa sopra Canal,house above canal
Casa e Bottegha da Barbier,house and barber's shop
Stabile con orticello per uso,stable with small garden for use
"casa in 3 soler, primo","house in 3 soler, first"
Case due e bottegha,two houses and a shop
casa e bottega zavater,house and shoemaker's shop
Casetta in 4 affittanze vuota,small house in 4 leases vacant
Inviamento di luganegher,sending of sausages
Cas a pepian,house to pepian
Bottega da Calegher,cobbler's workshop
Bottega da fruttarol e casa in soler con inviamento,fruit shop and house in soler with conveyance
Parte d'inviamento della malvasia,part of the shipment of malvasia
Bottega altra metà,other half of the shop
Maghazen da fassi,warehouse for casks
Palazzo proprio per uso,own palace for use
Casa e Bottega da Zavater,house and shoe shop
casa in due solari e casetta a pepian,house on two solariums and small house on pepian
Casa abitata,inhabited house
Bottegha da Sartor,tailor's shop
Terren di Tagliapietra,tagliapietra lands
Casa e Bottega con un Magazen,house and shop with a warehouse
Volta numero 28,turn number 28
altro appartamento vuoto,another empty apartment
Inviamento da frutariol,sending from fruiterer
altra portione di casa,other portion of house
Casa e bottega a pepian,house and shop in pepian
Casa in soler in due appartamenti,house on the ground in two apartments
Bottega da Colori,color workshop
Casa e Bottega da Felzi,house and workshop of felzi
Casa et sbare con chiovere,house and barn with closure
casa divisa in dieci appartamenti,house divided into ten apartments
Botega da Barbier,barber's shop
Bottega fruttariol con inviamento,fruit shop with forwarding
Casin con giardino,house with garden
Casa grande,large house
Casa proprietà,house property
Casa Grande vuota,big empty house
fabrica di colori e casa in soler,color factory and house in soler
Casa e bottega da scaleter,house and shop from a ladder maker
"Casa, et Bottega da Baretin","house, and shop from baretin"
Case che si fabricano,houses that are built
Casa con horto,house with garden
Scola Italiana,italian school
Bottega da confeture,jam workshop
bottega confetture,jam shop
Magazen ora ridotto in Casa,warehouse now reduced to house
Bottegha da Orefice,goldsmith's shop
"Casa in quatro soleri , secondo soler","house in four soleri, according to soler"
bottega e inviamento da frutarol,shop and shipment by fruit seller
Casetta a pepian o sia magazen,small house or warehouse
bottega da relogier,watchmaker's shop
Botegha da marzer,spice merchant's shop
"Casa, bottegha zavater","house, shoemaker's shop"
casa con bottega da malvasia e magazen,house with malvasia shop and warehouse
casa con bottega di barbier e magazen,house with barber shop and warehouse
"Casa, e botega da sartor da veste","house, and tailor's shop for clothes"
magazeni non affitati,unrented warehouses
Altra porcion di casa,another portion of house
casa in tre appartamenti,house in three apartments
Libertà numero 12,freedom number 12
bottega da favro con casetta pepian,blacksmith's shop with small pepian house
Casa a pepian e primo soler,house with pepian and first floor
"casa, secondo soler, vuota","house, according to custom, empty"
Bottega da erbarol,herbalist's shop
Casa e forno,house and oven
Casa con horticello unito,house with attached small garden
Bottega da legname,lumber shop
"Casa, e Bottega da masteller","house, and shop from masteller"
Casa vuota con orto in 2 soleri,empty house with garden on 2 soleri
"Forno, et Casa in soler","oven, and house on the ground floor"
casa con belvedere,house with a view
Altra porcion vuota,another empty portion
"Casa in due soleri, nel primo","house on two suns, in the first"
"casa, quattro luoghi e uno studio","house, four places and one study"
"casa, secondo e terzo soler","house, second and third floor"
Bottega di Fruttarol,fruiterer's shop
Inviamento del suddetto Luguanegher,sending of the aforementioned luguanegher
Scola dell'Annonciata dei Servi,school of the annunciation of the servants
"casa, porzione primo e secondo soler","house, first and second floor portion"
"Bottega Buttiro, e Salumier","butcher's shop, and delicatessen"
"Appartamento, terzo soler","apartment, third floor"
casa e bottega da erbariol,house and herbalist's shop
inviamento di forner,sending of baker
CAseta,hut
Locanda al Castello,inn at the castle
casa e bottega da tornidor,house and turner's workshop
Casa in solari numero 7,house in plots number 7
case numero 23,house number 23
